FECHA_OPERATIVA|CEDI|TIENDA|AREA|SITUACION_PEDIDO|PED_PEDIDOS|PED_ARTICULOS|PED_CAJAS|PED_NOATENDID|PICK_PEDIDOS|PICK_ARTICULOS|PICK_CAJAS|PICK_NOATENDID|DESP_PEDIDOS|DESP_ARTICULOS|DESP_CAJAS|DESP_NOATENDID
2023/04/18|CEDI_3|10003|Extraordinarios|EX|1|1|17|3|1|1|14|3||||
2023/04/18|CEDI_3|10192|Alimentos|EX|1|75|187|2||||||||
2023/04/18|CEDI_3|10192|Cuadrante 1|EX|1|6|158|0|1|4|140|0||||
2023/04/18|CEDI_3|10192|Fruver Seco|EX|1|2|2|0||||||||
2023/04/18|CEDI_3|10192|Refrigerados|EX|2|40|53|-2||||||||
2023/04/18|CEDI_3|10193|Alimentos|EX|1|55|106|0||||||||
2023/04/18|CEDI_3|10193|Cuadrante 1|EX|1|1|32|0|1|1|32|0||||
2023/04/18|CEDI_3|10193|Fruver Seco|EX|1|6|6|0||||||||
2023/04/18|CEDI_3|10193|Refrigerados|EX|1|13|15|0||||||||
2023/04/18|CEDI_3|10194|Alimentos|EX|1|91|158|0||||||||
2023/04/18|CEDI_3|10194|Cuadrante 1|EX|1|2|34|0|1|1|18|0||||
2023/04/18|CEDI_3|10194|Fruver Seco|EX|1|6|8|0||||||||
2023/04/18|CEDI_3|10194|Refrigerados|EX|2|28|37|4||||||||
2023/04/18|CEDI_3|10195|Alimentos|EX|1|106|271|1||||||||
2023/04/18|CEDI_3|10195|Refrigerados|EX|1|21|25|0||||||||
2023/04/18|CEDI_3|10197|Alimentos|EX|1|131|171|0||||||||
2023/04/18|CEDI_3|10197|Fruver Seco|EX|1|4|5|0||||||||
2023/04/18|CEDI_3|10197|Refrigerados|EX|2|40|48|0||||||||
2023/04/18|CEDI_3|10198|Alimentos|EX|1|98|153|0||||||||
2023/04/18|CEDI_3|10198|Cuadrante 1|EX|1|1|32|||||||||
2023/04/18|CEDI_3|10198|Fruver Seco|EX|1|7|11|0||||||||
2023/04/18|CEDI_3|10198|Refrigerados|EX|1|41|56|0||||||||
2023/04/18|CEDI_3|10199|Cuadrante 1|EX|1|2|36|||||||||
2023/04/18|CEDI_3|10199|Refrigerados|EX|1|3|7|0||||||||
2023/04/18|CEDI_3|10200|Alimentos|EX|1|181|366|0||||||||
2023/04/18|CEDI_3|10200|Cuadrante 1|EX|1|5|164|0||||||||
2023/04/18|CEDI_3|10200|Fruver Seco|EX|1|3|3|0||||||||
2023/04/18|CEDI_3|10200|Refrigerados|EX|1|43|74|2||||||||
2023/04/18|CEDI_3|10201|Alimentos|EX|1|204|389|0||||||||
2023/04/18|CEDI_3|10201|Cuadrante 1|EX|1|1|28|0|1|1|28|0|1|1|28|0
2023/04/18|CEDI_3|10201|Refrigerados|EX|2|50|82|-1||||||||
2023/04/18|CEDI_3|10202|Alimentos|EX|1|178|291|7||||||||
